80499  Python           11.0  00:13.40 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74222      4264     124         39          236491+     3838705     113892+     5894    1480+      11.8  402481166  281594942  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.4  00:13.52 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74222      4264     124         39          239154+     3838705     115324+     5894    1496+      11.1  382168583  270056822  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.9   00:13.62 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74222      4264     124         39          241678+     3838705     116684+     5894    1510+      9.5   355631687  247067862  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.2   00:13.71 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74224+     4264     124         39          244159+     3838705     118065+     5894    1518+      8.6   361530877  267494133  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.4   00:13.82 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74224      4264     124         39          247127+     3838705     119708+     5894    1528+      9.8   418844024  310651079  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.6   00:13.93 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74224      4264     124         39          249671+     3838705     121064+     5894    1546+      10.5  398380977  275728138  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.3  00:14.04 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74224      4264     124         39          252293+     3838705     122453+     5894    1573+      11.6  380251484  265116238  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           6.7   00:14.12 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74225+     4264     124         39          254103+     3838705     123456+     5894    1580+      7.0   283415732  199261647  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           7.6   00:14.20 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74225      4264     124         39          256131+     3838705     124539+     5894    1601+      8.5   286124004  202652172  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.5  00:14.32 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74225      4264     124         39          258408+     3838705     125749+     5894    1632+      11.9  360348337  251485453  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           11.5  00:14.44 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74225      4264     124         39          261181+     3838705     127255+     5894    1668+      13.2  418590500  290363551  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.0  00:14.56 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74225      4264     124         39          263490+     3838705     128537+     5894    1692+      11.1  342386045  240062993  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           8.2   00:14.65 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74225      4264     124         39          266057+     3838705     129940+     5894    1697+      8.4   374893898  262650032  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.6  00:14.76 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74225      4264     124         39          268720+     3838705     131363+     5894    1727+      11.9  399165703  278884815  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           12.5  00:14.91 38     12    66     168M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74226+     4264     124         39          271907+     3838705     133018+     5894    1743+      13.1  511109377  357549333  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           12.1  00:15.05 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74226      4264     124         39          274633+     3838705     134490+     5894    1770+      13.3  434879272  299907981  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.5   00:15.15 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74226      4264     124         39          277152+     3838705     135778+     5894    1789+      10.4  398183608  276438604  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           10.0  00:15.26 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74226      4264     124         39          279206+     3838705     136894+     5894    1806+      10.8  359395886  248179447  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           9.0   00:15.36 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74226      4264     124         39          281528+     3838705     138118+     5894    1830+      10.1  372136166  253012387  sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           2.1   00:15.39 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74226      4264     124         39          282051+     3838705     138387+     5894    1839+      2.5   76355506   54866951   sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           2.9   00:15.42 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74226      4264     124         39          282643+     3838705     138675+     5894    1848+      3.3   95604101   68570615   sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           2.7   00:15.45 38     12    66     168M   0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 74226      4264     124         39          283395+     3838705     139106+     5894    1848       2.7   114978810  83153758   sabi                   N/A    N/A   N/A   N/A   N/A   N/A  
